15M          Fifteen minutes
UAE          User application entity  or  user agent entity (x.400)
UAF          Unblocking acknowledgment failure
UAI          U activation indication (C/I channel code)
UA           Unnumbered ack (LAP-D response)
UA           User agent (x.400)
UBA          Unblocking acknowledgement
UBL          Unblocling (SS7: in ISUP)
UCA          Unauthorized centralized automatic message accountin (MDII)
UCD          Uniform call distribution
UCL          Unconditional
UCONF        Universal conference
UCS          User control string
UDC          Universal digital channel
UDLC         Universal dlc
UDP          Update dip parameters
UDP          User datagram protocol
UDR          User data rate
U-DSL        U-interface digital subscriber line
UDTS         Unidata servive (SS7: in SCCP)
UDT          Unidata (SS7: in SCCP)
UDVM         Universal data voice multiplexer
UES          Update the entity summary table
UFD          Microfarad
UFO          Unprinted frame orders
UFT          Unitized facility terminals
UIC          U-interface unit
UIC          User identification code
UID          User id
UINTF        The ANSI standard U interface is down.
UITP         Universal information transport plan
UI           Unnumbered information  (LAP-D command)
U(k0)        (ger) u0 echo cancellation interface
ULCU         User level control/command unit
UMC          Unassigned multiplexer code
UNDRN        Underrange
UNISTAR      Universal single call telecommunications answering & repair
UNKN         Unknown
UOA          U interface only activation (in EOC)
U(p0)        (ger) u0 burst mode interface
UPC          Update ccs vs. class of service table
UPDT         Update
UPS          Uninterruptable power systems
UP           User part
UQL          Unequipped label received (outgoing)
USART        Universal synchrounous/asynchrounous receiver/transmitter
USB          Upper side band
U            Single wire pair
USITA        United states independent telephone association
USL          List USOC (us) file data
USOC         Universal service order code
USO          Univeral service order
USO          Universal service order
USP          Universal sampling plan
USR          User-to-user information (SS7: in ISUP)
US           Unit separator
US           USOC
UTC          Unable to comply ack (in eoc)
UTC          Unacknowledged (unnumbered) information transfer control (IOS)
UTC          Update table for concentrator redesign
UTD          Universal tone decoder
UTG          Universal tone generator
UTM          Universal transaction monitor
UTS          Umbilical time slot
UUCICO       Unix to unix copy incoming copy outgoing
UUCP         Unix-system to unix-system copy
UUCP         Unix to unix copy program
UUID         Universal user identification
U-           Unnumbered (u-frames)
UUS          User-to-user signaling (i.257 a)
UUT          User to user signaling
UVC          Universal voice channel
UWAL         Universal wats (wide area telephone service) access line
UXS          Unexpected stop
UXS          Unexpected stop (MDII)
VAC          Vacuumschmelze (produces cores and transformers)
VAL          Minimum valid hours for entity data
VANS         Value added network service
VAN          Value added network
VAP          Value added process
VAP          Videotext access point
VAR          Value added retailer
VCA          Vacant code
VCB          Virtual circuit bearer
VCS          Virtual circuit switch (as in Datakit)
VCS          Virtual circuit switching
VCS          Virtual circuit system
VC           Virtual call
VC           Virtual circuit
VDC          Unk? (On service order)
VDT          Video display terminal
VERS         Version
VFAC         Verified and forced account codes
VF           Commercial television (full time) INTER/TRA blocal 1-26
VFD          Verify display
VFG          Virtual facility group
VFN          Vendor feature node
VFS          Verify status
VF           Voice frequency
VFY          Verfy
VFY          Verify
VGB          Voice grade budget
VGF          Voice grade facility
VGT          Boltage test
VGT          Voltage test (SARTS command)
VG           Voice grade
VH           Commercial television (part time) INTER/TRA blocal 1-26
VHDL         Very high scale ic description language (DOD)
VHF          Very high frequency
VINES        Virtual network software
VIU          Voiceband interface unit
VLD          Validity
VL           (Ger) connecting cable
VLSI         Very large-scale integrated circuitry
VLT          Voltage
VMCF         Virtual machine communications facility
VM           Control/remote metering-voice grade INTER/TRA blocal 1-26
VMC          Vender marketing center
VMRS         Voice message relay system
VMR          Volt-meter reverse
VM/SP        Virtual machine/system product
VMS          Virtual memory operating system
VMS          Voice mail system
VMS          Voice management system
VMS          Voltage Monitor error Summary
VNF          Virtual network feature
VNLF         Via net loss factor
VNL          Via net loss plan
VODAS        Voice over data access station
VO           International overseas television INTER/TRA blocal 1-26
VPA          Voice path assurance timeout (outgoing)
